Ansgarius C,15.59,-14.79,74.83
Ansgarius M,7.56,-11.25,78.79
Ansgarius N,10.23,-11.91,81.18
Ansgarius P,10.35,-13.06,75.66
Antoniadi,137.92,-69.3,-173.06
Anuchin,62.14,-48.85,101.66
Anuchin B,25.59,-46.44,103.57
Anuchin L,16.04,-49.84,101.92
Anuchin N,30.68,-51.28,100.03
Anuchin Q,51.43,-50.82,98.77
Anuchin V,15.18,-47.81,99.8
Anville,10.26,1.84,49.51
Apennine Front,6.63,25.92,3.68
Apianus,63.44,-26.96,7.87
Apianus A,13.11,-25.7,6.52
Apianus B,10.21,-27.4,8.99
Apianus C,19.64,-28.13,10.46
Apianus D,33.66,-26.08,10.66
Apianus E,8.39,-28.85,8.19
Apianus F,5.39,-28.14,6.33
Apianus G,4.02,-28.12,7.64
Apianus H,6.57,-28.15,8.64
Apianus J,6.71,-26.33,8.52
Apianus K,6.44,-27.48,9.31
Apianus L,4.67,-29.12,10.85
Apianus M,6.98,-24.78,10.29
Apianus N,3.46,-28.89,9.91
Apianus P,41.59,-25.29,9.13
Apianus R,13.1,-25.79,8.89
Apianus S,23.96,-25.81,8.47
Apianus T,11.52,-27.73,9.45
Apianus U,16.82,-27.91,8.98
Apianus V,3.2,-25.19,10.4
Apianus W,9.68,-25.6,7.46
Apianus X,3.1,-28.34,7.02
Apollo,524.23,-35.69,-151.48
Apollonius,50.66,4.51,60.96
Apollonius A,24.55,4.82,56.85
Apollonius B,31.17,5.87,57.6
Apollonius E,16.55,4.34,61.86
Apollonius F,14.72,5.6,59.94
Apollonius H,19.04,3.43,59.51
Apollonius J,11.7,4.63,57.48
Apollonius L,10.12,6.47,54.57
Apollonius M,9.54,4.73,61.77
Apollonius N,10.79,4.75,63.77
Apollonius S,16.22,1.26,62.58
Apollonius U,8.44,4.89,59.87
Apollonius V,14.97,4.39,58.22
Apollonius X,28.97,6.9,58.18
Apollonius Y,8.71,4.88,62.6
Appleton,64.59,37.05,158.17
Appleton D,39.13,37.77,160.63
Appleton M,25.03,33.72,158.26
Appleton Q,22.66,34.18,155.31
Appleton R,40.92,36.13,156.25
Arago,25.51,6.15,21.43
Arago B,6.9,3.43,20.82
Arago C,3.03,3.89,21.48
Arago D,3.95,6.91,22.39
Arago E,6.28,8.51,22.71
Aratus,10.23,23.58,4.51
Aratus B,6.69,24.18,5.43
Aratus C,3.56,24.08,9.46
Aratus CA,2.08,24.56,11.18
Aratus D,4.05,24.37,8.61
Archimedes,81.04,29.72,-3.99
Archimedes C,7.66,31.63,-1.53
Archimedes D,4.96,32.2,-2.69
Archimedes E,2.56,25,-7.2
Archimedes G,3.29,29.14,-8.15
Archimedes H,3.78,23.89,-7.02
Archimedes L,3.21,25.04,-2.61
Archimedes M,3.27,26.12,-3.21
Archimedes N,3.51,24.15,-3.89
Archimedes P,2.63,25.94,-2.5
Archimedes Q,2.36,28.52,-2.43
Archimedes R,3.5,26.07,-6.61
Archimedes S,2.77,29.56,-2.73
Archimedes T,2.33,30.3,-5.03
Archimedes U,2.74,32.83,-1.96
Archimedes V,2.67,32.98,-4.01
Archimedes W,3.19,23.8,-6.25
Archimedes X,2.15,31.03,-8.02
Archimedes Y,2.2,29.97,-9.5
Archimedes Z,2.07,26.88,-1.41
Archytas,31.95,58.87,4.99
Archytas B,35.18,61.44,3.17
Archytas D,44.75,63.71,11.9
Archytas G,7.21,55.73,0.53
Archytas K,13.77,62.66,7.68
Archytas L,4.38,56.19,0.9
Archytas U,7.39,62.9,9.22
Archytas W,5.73,61.29,5.2
Argelander,33.72,-16.55,5.8
Argelander A,8.65,-16.54,6.75
Argelander B,5.6,-15.6,5.1
Argelander C,3.87,-16.28,5.72
Argelander D,10.69,-17.64,4.44
Argelander W,18.63,-16.75,4.18
Ariadaeus,10.4,4.55,17.28
Ariadaeus A,7.94,4.64,17.49
Ariadaeus B,7.8,4.9,15.06
Ariadaeus D,3.92,4.88,17.03
Ariadaeus E,21.96,5.32,17.63
Ariadaeus F,3.16,4.32,18.01
[Ariosto],0,-3.6,95.6
Aristarchus,39.99,23.73,-47.49
Aristarchus B,6.95,26.28,-46.85
Aristarchus D,4.65,23.73,-42.88
Aristarchus F,17.6,21.67,-46.57
Aristarchus H,4.43,22.61,-45.74
Aristarchus N,3.14,22.83,-43.03
Aristarchus S,3.8,19.29,-46.28
Aristarchus T,3.33,19.67,-46.5
Aristarchus U,3.45,19.73,-48.64
Aristarchus Z,7.74,25.49,-48.49
Aristillus,54.37,33.88,1.21
Aristillus A,4.44,33.64,4.53
Aristillus B,8.02,34.8,-1.93
Aristoteles,87.57,50.24,17.32
Aristoteles D,5.61,47.48,14.71
Aristoteles M,6.98,53.5,27.26
Aristoteles N,5.3,52.9,26.84
Armiński,26.76,-16.36,154.22
Armiński D,11.24,-16.04,154.97
Armiński K,20.05,-17.09,154.64
Armstrong,4.21,1.35,24.94
Arnold,93.13,66.98,35.83
Arnold A,55.13,68.77,39.6
Arnold E,31.15,71.48,38.1
Arnold F,10.41,67.55,35.18
Arnold G,10.64,67.39,31.45
Arnold H,12.82,72.59,44.98
Arnold J,6.17,65.9,33.82
Arnold K,30,70.71,42.38
Arnold L,34.89,70,35.77
Arnold M,6.77,68.29,43.59
Arnold N,18.81,70.15,41.6
Arrhenius,40.93,-55.58,-91.45
Arrhenius J,16.98,-57.52,-88.45
[Arrhenius P],0,-58.3,-93.5
Artamonov,62.45,25.44,103.79
Artem'ev,66.39,10.4,-145.22
Artem'ev G,60.94,10.01,-143.69
Artem'ev L,27.97,7.96,-144.2
Artemis,2.28,25.03,-25.36
Artsimovich,7.96,27.61,-36.63
Aryabhata,21.89,6.2,35.17
Arzachel,96.99,-18.26,-1.93
Arzachel A,8.69,-18.06,-1.51
Arzachel B,7.71,-17.06,-2.98
Arzachel C,5.66,-17.49,-3.71
Arzachel D,7.46,-20.19,-2.14
Arzachel H,4.08,-18.69,-2.05
Arzachel K,3.5,-18.38,-1.62
Arzachel L,4.41,-19.96,0.13
Arzachel M,3.02,-20.65,-0.87
Arzachel N,2.76,-20.42,-2.27
Arzachel T,2.96,-17.68,-1.3
Arzachel Y,3.92,-18.27,-4.26
Asada,12.37,7.25,49.9
Asclepi,40.56,-55.19,25.52
Asclepi A,13.43,-53.1,23.01
Asclepi B,17.26,-54.24,23.83
Asclepi C,9.57,-53.58,23.55
Asclepi D,17.86,-53.66,24.09
Asclepi E,6.39,-52.26,24.15
Asclepi G,4.93,-53.5,24.8
Asclepi H,18.22,-52.8,25.2
Ashbrook,157.68,-81.1,-110.58
Aston,44.48,32.77,-87.68
Aston K,14.46,35.04,-87.89
Aston L,10.08,35.47,-86.51
Atlas,88.12,46.74,44.38
Atlas A,22.22,45.34,49.56
Atlas D,25.82,50.4,49.65
Atlas E,57.98,48.61,42.5
Atlas G,21.42,50.73,46.47
Atlas L,5.39,51.33,48.62
Atlas P,26.9,49.66,53
Atlas W,4.31,44.43,44.22
Atlas X,5.02,45.12,45.1
Atwood,28.64,-5.88,57.78
[Austen],0,-9,93.55
Autolycus,38.88,30.68,1.49
